local;visitante;porganarpartido_local;porganarpartido_visitante;porperderpartido_local;porperderpartido_visitante;porcapacidad_ofensiva_local;porcapacidad_ofensiva_visitante;porcapacidad_defensiva_local;porcapacidad_defensiva_visitante;resultado
Club Atlético de Madrid;Leicester City FC;47.5;50.0;26.25;30.0;59.78835979;52.38095238;40.21164021;47.61904762;2
AS Monaco FC;Juventus;38.98305085;50.83056478;40.6779661;25.91362126;53.77906977;61.41025641;46.22093023;38.58974359;1
Club Atlético de Madrid;Club Atlético de Madrid;47.5;47.5;26.25;26.25;59.78835979;59.78835979;40.21164021;40.21164021;2
Juventus;Real Madrid CF;50.83056478;59.87394958;25.91362126;23.1092437;61.41025641;66.77295918;38.58974359;33.22704082;1
Paris Saint-Germain;Chelsea FC;53.84615385;51.74129353;27.27272727;21.89054726;63.02895323;65.39196941;36.97104677;34.60803059;1
FC Dynamo Kyiv;Manchester City FC;40.94488189;55.46218487;37.4015748;24.3697479;52.63157895;65.15957447;47.36842105;34.84042553;2
KAA Gent;VfL Wolfsburg;30.76923077;45.45454545;61.53846154;40.90909091;37.83783784;50.0;62.16216216;50.0;2
AS Roma;Real Madrid CF;37.27272727;59.87394958;38.18181818;23.1092437;48.36601307;66.77295918;51.63398693;33.22704082;2
Arsenal FC;FC Barcelona;50.24875622;58.1120944;28.35820896;19.46902655;60.36363636;66.03960396;39.63636364;33.96039604;2
PSV Eindhoven;Club Atlético de Madrid;36.89839572;47.5;39.57219251;26.25;51.55279503;59.78835979;48.44720497;40.21164021;2
Juventus;FC Bayern München;50.83056478;59.94764398;25.91362126;20.15706806;61.41025641;68.30926083;38.58974359;31.69073917;2
SL Benfica;FC Zenit;45.29616725;39.47368421;31.35888502;40.78947368;58.7144623;50.51546392;41.2855377;49.48453608;1
Paris Saint-Germain;Manchester City FC;53.84615385;55.46218487;27.27272727;24.3697479;63.02895323;65.15957447;36.97104677;34.84042553;2
VfL Wolfsburg;Real Madrid CF;45.45454545;59.87394958;40.90909091;23.1092437;50.0;66.77295918;50.0;33.22704082;2
FC Barcelona;Club Atlético de Madrid;58.1120944;47.5;19.46902655;26.25;66.03960396;59.78835979;33.96039604;40.21164021;2
FC Bayern München;SL Benfica;59.94764398;45.29616725;20.15706806;31.35888502;68.30926083;58.7144623;31.69073917;41.2855377;1
Manchester City FC;Real Madrid CF;55.46218487;59.87394958;24.3697479;23.1092437;65.15957447;66.77295918;34.84042553;33.22704082;2
Club Atlético de Madrid;FC Bayern München;47.5;59.94764398;26.25;20.15706806;59.78835979;68.30926083;40.21164021;31.69073917;1
Real Madrid CF;Club Atlético de Madrid;59.87394958;47.5;23.1092437;26.25;66.77295918;59.78835979;33.22704082;40.21164021;1
